Year,Ward code,Borough,Ward,Name,Party,Votes,Elected,Rank,Ballot position,Party position,Num candidates
2010,00ABFX,Barking and Dagenham,Abbey,"Butt, Laila",Lab,3412,True,1,1,1,7
2010,00ABFX,Barking and Dagenham,Abbey,"Hussain, Manzoor",Lab,3139,True,2,3,2,7
2010,00ABFX,Barking and Dagenham,Abbey,"Saeed, Tariq",Lab,3122,True,3,6,3,7
2010,00ABFX,Barking and Dagenham,Abbey,"Taylor, John W.",Cons,671,False,4,7,3,7
2010,00ABFX,Barking and Dagenham,Abbey,"Iqbal, Mohammed C.",Cons,650,False,5,4,1,7
2010,00ABFX,Barking and Dagenham,Abbey,"Gomes, Anthony",Lib Dem,603,False,6,2,1,7
2010,00ABFX,Barking and Dagenham,Abbey,"Rahman, Shahidur",Cons,546,False,7,5,2,7
2010,00ABFY,Barking and Dagenham,Alibon,"Rodwell, Darren",Lab,2245,True,1,4,3,5
2010,00ABFY,Barking and Dagenham,Alibon,"Davis, John",Lab,2135,True,2,2,2,5
2010,00ABFY,Barking and Dagenham,Alibon,"Alasia, Sanchia",Lab,1995,True,3,1,1,5
2010,00ABFY,Barking and Dagenham,Alibon,"Patten, Vivian",Cons,687,False,4,3,1,5
2010,00ABFY,Barking and Dagenham,Alibon,"Ryder, Richard D.",Lib Dem,529,False,5,5,1,5
2010,00ABFZ,Barking and Dagenham,Becontree,"Carpenter, Evelyn",Lab,2444,True,1,2,1,6
2010,00ABFZ,Barking and Dagenham,Becontree,"Douglas, Rob",Lab,2387,True,2,3,2,6
2010,00ABFZ,Barking and Dagenham,Becontree,"Ogungbose, James",Lab,2171,True,3,5,3,6
2010,00ABFZ,Barking and Dagenham,Becontree,"King, Patrice",Cons,759,False,4,4,2,6
2010,00ABFZ,Barking and Dagenham,Becontree,"Arawwawala, Roshan",Cons,614,False,5,1,1,6
2010,00ABFZ,Barking and Dagenham,Becontree,"Watson, Chris",Lib Dem,584,False,6,6,1,6
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Mckenzie, Milton",Lab,1984,True,1,4,1,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Wade, Jeff",Lab,1818,True,2,7,3,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Tarry, Sam",Lab,1785,True,3,6,2,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Justice, Terry",Cons,1411,False,4,3,3,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Justice, Maire",Cons,1306,False,5,2,2,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Gough, Cathal",Cons,1121,False,6,1,1,7
2010,00ABGA,Barking and Dagenham,Chadwell Heath,"Probert, Gina T.",Lib Dem,481,False,7,5,1,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"McCarthy, Mick",Lab,2295,True,1,4,2,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Burgon, Pamela J.",Lab,2026,True,2,1,1,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Ramsay, Tony",Lab,1854,True,3,5,3,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Connelly, Neil S.",Cons,1232,False,4,2,1,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Connelly, Sue",Cons,1201,False,5,3,2,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Sunley-Smith, Daniel J.",Cons,1066,False,6,6,3,7
2010,00ABGB,Barking and Dagenham,Eastbrook,"Taiwo, Oluwole A.",Lib Dem,392,False,7,7,1,7
2010,00ABGC,Barking and Dagenham,Eastbury,"Alexander, Jeanne",Lab,2104,True,1,1,1,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Mcdermott, Jim",Lab,1958,True,2,5,2,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Rai, Hardial S.",Lab,1824,True,3,6,3,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Riaz, Mohammed",Lib Dem,684,False,4,7,3,9
2010,00ABGC,Barking and Dagenham,Eastbury,"London, Terry",Lib Dem,633,False,5,4,2,9
2010,00ABGC,Barking and Dagenham,Eastbury,"De Cruz, David L.",Lib Dem,567,False,6,2,1,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Searle, Danny",Cons,457,False,7,8,2,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Gul, Hasan",Cons,432,False,8,3,1,9
2010,00ABGC,Barking and Dagenham,Eastbury,"Semitego, Richard",Cons,357,False,9,9,3,9
2010,00ABGD,Barking and Dagenham,Gascoigne,"Ashraf, Saima",Lab,2725,True,1,1,1,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Aziz, Abdul",Lab,2668,True,2,2,2,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Twomey, Dominic",Lab,2576,True,3,7,3,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Baig, Sherry",Cons,499,False,4,3,1,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Okoruwe, Chukwuma",Lib Dem,456,False,5,5,1,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Sekisonge, Kizito G.",Cons,390,False,6,6,3,7
2010,00ABGD,Barking and Dagenham,Gascoigne,"Ibelgauptas, Slava",Cons,357,False,7,4,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Letchford, Graham",Lab,2142,True,1,3,3,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Couling, Louise",Lab,1963,True,2,2,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Clee, Jim",Lab,1872,True,3,1,1,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Naylor, George D.",Cons,644,False,4,4,1,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Newton, Christopher",Cons,533,False,5,5,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Taiwo, Felicia",Lib Dem,457,False,6,7,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Shukura, Nzingha T.",Lib Dem,347,False,7,6,1,7
2010,00ABGF,Barking and Dagenham,Heath,"Reason, Linda A.",Lab,2286,True,1,4,2,7
2010,00ABGF,Barking and Dagenham,Heath,"Miles, Dave",Lab,2241,True,2,3,1,7
